,Modernism By Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
76,twlightSleep-1927,0.082179956,8.75E-07,8.16E-08,4.02E-05,0.006377246,0.005068691,0.184226224,0.1222871,4.43E-05,0.005459927,8.20E-08,0.027973611,4.93E-06,3.43E-06,0.024146183,0.193922303,2.69E-06,1.51E-06,1.45E-06,1.47E-06,3.38E-07,0.18601017,2.01E-06,0.034913553,0.127324409,4.94E-06,4.59E-07,1.64E-07,7.83E-07,1.01E-06
75,ageOfInnocence-1920,0.022642848,6.93E-07,6.46E-08,1.20E-06,0.022235731,6.54E-06,0.18337149,0.072009883,0.007925162,0.013466477,6.49E-08,0.052605597,0.000309723,2.72E-06,0.044376593,0.220589743,2.13E-06,1.19E-06,0.009145132,1.16E-06,2.68E-07,0.199799501,1.59E-06,0.020942798,0.124561829,0.005997963,3.63E-07,1.30E-07,6.20E-07,7.96E-07
74,warWorlds-1898,1.76E-05,9.97E-07,9.29E-08,1.73E-06,3.89E-06,0.048470834,0.068668331,0.024237685,0.011186432,0.019822162,9.34E-08,6.85E-06,0.000489793,0.013428741,3.29E-06,0.148645239,3.06E-06,1.72E-06,1.66E-06,0.343017019,3.86E-07,0.134391938,2.29E-06,0.17645112,0.000310739,4.96E-05,5.23E-07,1.87E-07,0.01078477,1.15E-06
71,grapesWrath-1939,0.178831423,4.43E-05,4.13E-06,0.039208321,0.000172966,0.033679747,0.004074903,0.001288162,0.000285006,0.00262508,4.15E-06,0.002261134,0.008076023,0.000173969,0.00014605,0.006038059,0.00013606,7.63E-05,7.36E-05,7.43E-05,1.71E-05,0.438786686,0.025537133,0.105283976,0.000116824,0.000250405,2.32E-05,0.152620301,3.96E-05,5.09E-05
73,threeLives-1909,0.879608458,1.29E-06,1.20E-07,2.24E-06,6.19E-05,1.21E-05,0.019220055,0.00413064,6.51E-05,1.94E-05,1.21E-07,8.85E-06,7.26E-06,6.19E-05,4.24E-06,0.027236119,6.08E-05,0.000115919,2.14E-06,2.16E-06,4.98E-07,0.048849289,2.96E-06,0.020512143,3.39E-06,7.28E-06,6.76E-07,2.41E-07,1.15E-06,1.48E-06
72,tenderButtons-1914,0.031308945,4.39E-06,4.10E-07,7.64E-06,0.018639484,4.15E-05,0.102438882,0.004007367,0.018262627,0.053605493,4.12E-07,0.037080884,0.011081774,1.72E-05,0.002536255,0.026786299,1.35E-05,0.000395535,7.29E-06,7.36E-06,1.70E-06,0.13816684,0.000398058,0.525268305,0.029884912,2.48E-05,2.31E-06,8.22E-07,3.93E-06,5.05E-06
70,autobiographyAlice-1933,0.089517982,8.85E-07,8.25E-08,7.97E-05,0.008402843,8.35E-06,0.093138781,0.045773091,5.69E-06,0.096938391,8.29E-08,6.08E-06,0.006372896,3.47E-06,2.92E-06,0.039460957,0.014223078,0.489119432,1.47E-06,1.48E-06,3.42E-07,0.088379694,2.03E-06,0.004758767,0.003948092,0.019850998,4.64E-07,1.66E-07,7.92E-07,1.02E-06
69,maryOlivier-1919,0.113667581,6.08E-07,5.67E-08,1.06E-06,2.37E-06,0.001133982,0.006449311,0.009419692,0.00016509,0.001943305,5.70E-08,3.10E-05,3.43E-06,0.014454614,2.01E-06,0.013111394,1.87E-06,1.05E-06,1.01E-06,0.00018906,0.405790796,0.367625507,0.005105344,0.060758732,1.60E-06,0.000137752,3.19E-07,1.14E-07,5.44E-07,6.99E-07
68,theTunnel-1919,0.03536913,7.02E-07,6.54E-08,1.22E-06,0.000188664,0.00028551,0.089556373,0.061313633,0.004125848,0.044198731,6.57E-08,0.001337285,0.001584317,0.011994909,2.31E-06,0.099596421,2.15E-06,1.21E-06,1.17E-06,0.000992776,2.72E-07,0.327173969,0.258220266,0.056763192,1.85E-06,0.006573311,3.68E-07,1.31E-07,6.28E-07,0.000713519
67,pointedRoofs,0.020699658,1.10E-06,1.03E-07,5.06E-05,4.30E-06,1.04E-05,0.050512269,3.20E-05,7.09E-06,6.53E-05,1.03E-07,7.57E-06,0.000444144,5.30E-05,3.63E-06,0.076204488,3.38E-06,1.90E-06,1.83E-06,1.85E-06,4.26E-07,0.27775953,0.552089768,0.021936083,2.91E-06,6.23E-06,5.78E-07,2.06E-07,9.83E-05,1.27E-06
66,pointedRoofs-1919,0.022090352,1.10E-06,1.03E-07,1.91E-06,4.30E-06,1.04E-05,0.050222541,3.20E-05,7.08E-06,0.000405524,1.03E-07,7.57E-06,6.21E-06,4.32E-06,3.63E-06,0.075210429,3.38E-06,1.90E-06,1.83E-06,1.85E-06,4.26E-07,0.275898701,0.555420344,0.020651851,2.90E-06,6.22E-06,5.78E-07,2.06E-07,9.85E-07,1.27E-06
65,timeRegained,0.000358874,5.28E-07,4.92E-08,9.17E-07,0.409844047,4.98E-06,0.197046721,0.113870695,0.007110616,0.034751787,4.94E-08,0.006621499,0.002449723,0.0012604,2.50E-05,0.121617045,0.03271814,0.017337868,8.76E-07,8.85E-07,2.04E-07,0.015362407,1.21E-06,0.035951136,2.47E-05,0.001144798,2.77E-07,9.87E-08,0.002493825,6.07E-07
64,sweetCheatGone,0.000664649,6.72E-07,6.27E-08,1.17E-06,0.472451745,6.34E-06,0.243689236,0.09461024,0.000123005,0.0259128,6.29E-08,0.003861831,3.79E-06,2.64E-06,0.000209911,0.125243258,0.002791124,1.16E-06,1.12E-06,1.13E-06,2.60E-07,0.00416175,1.54E-06,0.026193752,6.11E-05,3.80E-06,3.53E-07,1.26E-07,6.01E-07,7.73E-07
63,Captive,2.70E-05,4.36E-07,4.07E-08,7.58E-07,0.414339699,4.26E-05,0.222321784,0.1120006,0.002775069,0.022184692,4.08E-08,0.01084178,0.002216419,2.10E-05,1.44E-06,0.136920708,0.003004625,7.51E-07,0.000366509,7.31E-07,1.69E-07,0.033849806,1.00E-06,0.035920279,1.15E-06,0.003159765,2.29E-07,8.16E-08,3.90E-07,5.01E-07
62,roadWiganPier-1937,0.028452335,9.07E-07,8.46E-08,1.58E-06,0.000203796,8.87E-05,0.055073581,0.106802615,0.002569105,0.167066844,8.50E-08,6.23E-06,0.000125266,0.005450511,2.99E-06,0.015783582,0.448414959,1.56E-06,1.51E-06,0.008171946,3.51E-07,0.047391026,4.21E-05,0.114338321,2.39E-06,5.13E-06,4.76E-07,1.70E-07,8.11E-07,1.04E-06
